id,userId,createdAt,placeLongitude,placeLatitude,userLocation
776523955045797888,435239151,2016-09-15 20:51:52,5.9408199999999995,47.201,Fontain
776523977342717952,1092791342,2016-09-15 20:51:57,6.1195699999999995,46.1496,"Genève, Suisse"
776523979456647169,3997879457,2016-09-15 20:51:58,7.6246,46.2561,Switzerland
776524008804196352,3039301061,2016-09-15 20:52:05,8.22414,46.8131,Schweiz
776524011807318016,320115091,2016-09-15 20:52:06,7.39491,46.9543,
776524043180707840,314974217,2016-09-15 20:52:13,7.901730000000001,46.0857,"Park City, UT"
776524053574287360,22573,2016-09-15 20:52:16,6.513319999999999,46.0727,"Geneva, Switzerland"
776524071077044225,5645212,2016-09-15 20:52:20,9.73668,47.5067,São Paulo
776524112898494464,314974217,2016-09-15 20:52:30,7.901730000000001,46.0857,"Park City, UT"
776524162802253824,1262174352,2016-09-15 20:52:42,6.14319,46.2048,"Ginebra, Suiza"
776524173531353088,5645212,2016-09-15 20:52:44,9.73668,47.5067,São Paulo
776524175200616449,4827766088,2016-09-15 20:52:45,6.657719999999999,46.5869,넬라 
776524180644921344,2653732037,2016-09-15 20:52:46,7.2827399999999995,47.7218,g-eazy❤️
776524209543675904,989292498,2016-09-15 20:52:53,6.1188,46.1638,"Genève, Suisse"
776524217999323136,435239151,2016-09-15 20:52:55,5.9408199999999995,47.201,Fontain
776524234965352448,314974217,2016-09-15 20:52:59,7.901730000000001,46.0857,"Park City, UT"
776524247892189188,1163789684,2016-09-15 20:53:02,7.054819999999999,46.8942,"Faoug, Vaud"
776524317463117824,715791830294650880,2016-09-15 20:53:19,7.3448,47.717,france
776524379245142016,56321363,2016-09-15 20:53:33,8.536760000000001,47.3774,Paris
776524408705916928,610699203,2016-09-15 20:53:40,9.15218,47.7089,"Konstanz, Baden-Württemberg"
776524426955415552,4827766088,2016-09-15 20:53:45,6.657719999999999,46.5869,넬라 
776524436572954624,913119043,2016-09-15 20:53:47,6.14319,46.2048,"Geneva, Switzerland"
776524456365809668,944382884,2016-09-15 20:53:52,6.14319,46.2048,Genève
776524473319170048,735449229028675584,2016-09-15 20:53:56,8.96044,46.0027,Earleen. 
776524515002253338,171570950,2016-09-15 20:54:06,6.04928,45.8281,Annecy
776524543875842049,2173753856,2016-09-15 20:54:13,9.08382,45.8002,
776524557205274625,4827766088,2016-09-15 20:54:16,6.657719999999999,46.5869,넬라 
776524564608286721,19615842,2016-09-15 20:54:17,6.34836,46.4374,"Oman, Switzerland & U.K"
776524610833645574,4107982731,2016-09-15 20:54:29,8.536760000000001,47.3774,"Zürich, Schweiz"
776524669054775296,503244217,2016-09-15 20:54:42,6.16552,45.8011,Shargeyah
776524683290247170,15032299,2016-09-15 20:54:46,6.079,46.2322,"Utrecht, NL"
776524713665462272,2858441731,2016-09-15 20:54:53,8.86748,45.909,
776524722070839300,258087995,2016-09-15 20:54:55,8.891580000000001,47.556999999999995,
776524748260081665,1092791342,2016-09-15 20:55:01,6.1195699999999995,46.1496,"Genève, Suisse"
776524748855607296,4827766088,2016-09-15 20:55:01,6.657719999999999,46.5869,넬라 
776524770095558656,341542554,2016-09-15 20:55:06,6.741960000000001,47.4906,"Montbéliard, France"
776524773081935873,32361822,2016-09-15 20:55:07,6.67063,46.4997,"Lausanne, Switzerland"
776524795668262912,940873855,2016-09-15 20:55:13,6.133030000000001,46.2465,"Genève, Suisse"
776524838617907201,735449229028675584,2016-09-15 20:55:23,8.96044,46.0027,Earleen. 
776524873648730112,2951836954,2016-09-15 20:55:31,8.806510000000001,45.8314,"Varese, Lombardia"
776524885862547456,2472630696,2016-09-15 20:55:34,7.65833,46.8359,
776524893747838976,2162500449,2016-09-15 20:55:36,5.9408199999999995,47.201,"Franche-Comté, France"
776524903692525568,3028002053,2016-09-15 20:55:38,6.09362,46.2088,"Genève, Suisse"
776524906779598849,2442105406,2016-09-15 20:55:39,9.64878,45.8865,
776524937205080064,1163789684,2016-09-15 20:55:46,7.054819999999999,46.8942,"Faoug, Vaud"
776524953252487168,234222477,2016-09-15 20:55:50,9.75332,46.4007,
776525030268268548,3195290350,2016-09-15 20:56:09,6.741960000000001,47.4906,"Montbéliard, France"
776525037864099840,1103700806,2016-09-15 20:56:10,6.14319,46.2048," Genève, Suisse "
776525069187182592,401081923,2016-09-15 20:56:18,7.1604,47.5155,Seppois-Le-Haut
776525074711113728,484832518,2016-09-15 20:56:19,9.36293,47.424,Vilagarcía ✈ Suiza
776525077911330816,1163789684,2016-09-15 20:56:20,7.054819999999999,46.8942,"Faoug, Vaud"
776525081732321281,4827766088,2016-09-15 20:56:21,6.657719999999999,46.5869,넬라 
776525109637091328,1032603307,2016-09-15 20:56:27,9.37393,45.8095,"Lecco, Lombardia"
776525232416882692,551250118,2016-09-15 20:56:57,6.10093,45.8497,France
776525234996387840,913119043,2016-09-15 20:56:57,6.14319,46.2048,"Geneva, Switzerland"
776525242999209989,82143640,2016-09-15 20:56:59,8.72756,45.9885,Suiça
776525257226199040,32361822,2016-09-15 20:57:03,6.67063,46.4997,"Lausanne, Switzerland"
776525258274828292,306386825,2016-09-15 20:57:03,6.95068,46.4277,
776525261584072704,735449229028675584,2016-09-15 20:57:04,8.96044,46.0027,Earleen. 
776525261798043648,258087995,2016-09-15 20:57:04,8.891580000000001,47.556999999999995,
776525266403426305,101489921,2016-09-15 20:57:05,8.77107,45.8327,"Varese, Italy"
776525302197542912,2500427640,2016-09-15 20:57:13,8.22414,46.8131,Suécia
776525311970250752,703982520627548160,2016-09-15 20:57:16,7.6813899999999995,47.6343,"Lörrach, Deutschland"
776525328563003393,4827766088,2016-09-15 20:57:20,6.657719999999999,46.5869,넬라 
776525334694985728,550306046,2016-09-15 20:57:21,6.02808,46.2694,
776525344908185600,40496805,2016-09-15 20:57:24,6.14319,46.2048,"iPhone: 47.632786,-122.026932"
776525346673950720,1262174352,2016-09-15 20:57:24,6.14319,46.2048,"Ginebra, Suiza"
776525404442071041,3698734693,2016-09-15 20:57:38,6.5682100000000005,46.3789,
776525427531739140,98078789,2016-09-15 20:57:43,7.39491,46.9543,
776525432938192896,4062011128,2016-09-15 20:57:45,8.806510000000001,45.8314,"Varese, Lombardia"
776525470833803264,735449229028675584,2016-09-15 20:57:54,8.96044,46.0027,Earleen. 
